Gene_id	Gene_name	Unknown_Barcode	T14A	T0A	T0B	T14B
LOC111218356	trnaa-ugc	0	0	0	0	0
LOC111219532	MSTRG.13213	0	0	0	0	0
LOC111223337	LOC111216955	0	0	0	0	0
LOC111223338	matk	0	0	0	0	0
LOC111225332	MSTRG.4334	0	0	0	0	0
LOC111229944	MSTRG.10178	0	0	0	0	0
LOC111229950	MSTRG.10176	0	0	0	0	0
LOC111229953	MSTRG.10175	0	0	0	0	0
LOC111229954	LOC111223226	0	0	0	0	0
LOC111229957	MSTRG.10173	0	0	0	0	0
LOC111230211	MSTRG.15890	0	0	0	0	0
LOC111230212	LOC111228828	0	0	0	0	0
LOC111230227	trnak-cuu	0	0	0	0	0
LOC111230228	MSTRG.15932	0	0	0	0	0
LOC111230230	MSTRG.15939	0	0	0	0	0
LOC111230258	MSTRG.15579	0	0	0	0	0
LOC111231762	lrp10	0	0	0	0	0
LOC111231867	MSTRG.22100	0	0	0	0	0
LOC111235409	poc5	0	0	0	0	0
LOC111235906	LOC111239775	0	0	0	0	0
LOC111235907	MSTRG.2981	0	0	0	0	0
LOC111235908	MSTRG.2978	0	0	0	0	0
LOC111235909	MSTRG.2979	0	0	0	0	0
LOC111235910	MSTRG.2984	0	0	0	0	0
LOC111235911	MSTRG.2982	0	0	0	0	0
LOC111235912	MSTRG.2983	0	0	0	0	0
LOC111235913	LOC111240309	0	0	0	0	0
LOC111235914	rhag	0	0	0	0	0
LOC111235915	LOC111240310	0	0	0	0	0
LOC111239468	nup107	0	0	0	0	0
LOC111239469	tulp3	0	0	0	0	0
LOC111239982	MSTRG.4324	0	0	0	0	0
LOC111239983	LOC111217567	0	0	0	0	0
LOC111240079	stip1	0	0	0	0	0
LOC111240146	MSTRG.8777	0	0	0	0	0
LOC111240174	LOC111223640	0	0	0	0	0
MSTRG.1	MSTRG.11915	0	0	0	0	0
MSTRG.10	MSTRG.20639	0	0	0	0	0
MSTRG.100	MSTRG.26744	0	0	0	0	0
MSTRG.1000	cfap70	0	0	0	0	0
MSTRG.10000	boc	0	0	0	0	0
MSTRG.10001	usf3	0	0	0	0	0
MSTRG.10002	atp6v1a	0	0	0	0	0
MSTRG.10003	shisa2	0	0	0	0	0
MSTRG.10004	gramd1c	0	0	0	0	0
MSTRG.10005	ccdc191	0	0	0	0	0
MSTRG.10006	MSTRG.7762	0	0	0	0	0
MSTRG.10007	MSTRG.7764	0	0	0	0	0
MSTRG.10008	drd3	0	0	0	0	0
MSTRG.10009	MSTRG.7768	0	0	0	0	0
MSTRG.1001	MSTRG.1058	0	0	0	0	0
MSTRG.10010	gtf2h4	0	0	0	0	0
MSTRG.10011	LOC111220875	0	0	0	0	0
MSTRG.10012	MSTRG.7652	0	0	0	0	0
MSTRG.10013	MSTRG.7654	0	0	0	0	0
MSTRG.10014	ppp1r11	0	0	0	0	0
MSTRG.10015	LOC111220862	0	0	0	0	0
MSTRG.10016	trnau1ap	0	0	0	0	0
MSTRG.10017	MSTRG.7665	0	0	0	0	0
MSTRG.10018	MSTRG.7666	0	0	0	0	0
MSTRG.10019	MSTRG.7668	0	0	0	0	0
MSTRG.1002	MSTRG.1060	0	0	0	0	0
MSTRG.10020	socs6	0	0	0	0	0
MSTRG.10021	cd226	0	0	0	0	0
MSTRG.10022	pi15	0	0	0	0	0
MSTRG.10023	ube2w	0	0	0	0	0
MSTRG.10024	MSTRG.7698	0	0	0	0	0
MSTRG.10025	MSTRG.7702	0	0	0	0	0
MSTRG.10026	xkr9	0	0	0	0	0
MSTRG.10027	prdm14	0	0	0	0	0
MSTRG.10028	slco5a1	0	0	0	0	0
MSTRG.10029	MSTRG.7712	0	0	0	0	0
MSTRG.1003	MSTRG.1062	0	0	0	0	0
MSTRG.10030	MSTRG.7836	0	0	0	0	0
MSTRG.10031	MSTRG.7839	0	0	0	0	0
MSTRG.10032	MSTRG.7842	0	0	0	0	0
MSTRG.10033	MSTRG.7845	0	0	0	0	0
MSTRG.10034	ntmt1	0	0	0	0	0
MSTRG.10035	MSTRG.7851	0	0	0	0	0
MSTRG.10036	MSTRG.7854	0	0	0	0	0
MSTRG.10037	MSTRG.7857	0	0	0	0	0
MSTRG.10038	MSTRG.7859	0	0	0	0	0
MSTRG.10039	LOC111221234	0	0	0	0	0
MSTRG.1004	MSTRG.1064	0	0	0	0	0
MSTRG.10040	LOC111221116	0	0	0	0	0
MSTRG.10041	slc12a2	0	0	0	0	0
MSTRG.10042	LOC111221070	0	0	0	0	0
MSTRG.10043	mvb12b	0	0	0	0	0
MSTRG.10044	LOC111221093	0	0	0	0	0
MSTRG.10045	MSTRG.7882	0	0	0	0	0
MSTRG.10046	LOC111221168	0	0	0	0	0
MSTRG.10047	ralgps1	0	0	0	0	0
MSTRG.10048	LOC111221166	0	0	0	0	0
MSTRG.10049	MSTRG.7890	0	0	0	0	0
MSTRG.1005	MSTRG.1066	0	0	0	0	0
MSTRG.10050	LOC111220983	0	0	0	0	0
MSTRG.10051	LOC111221059	0	0	0	0	0
MSTRG.10052	MSTRG.7772	0	0	0	0	0
MSTRG.10053	MSTRG.7773	0	0	0	0	0
MSTRG.10054	LOC111221044	0	0	0	0	0
MSTRG.10055	LOC111221058	0	0	0	0	0
MSTRG.10056	LOC111221045	0	0	0	0	0
MSTRG.10057	LOC111221049	0	0	0	0	0
MSTRG.10058	LOC111221043	0	0	0	0	0
MSTRG.10059	LOC111221063	0	0	0	0	0
MSTRG.1006	MSTRG.1048	0	0	0	0	0
MSTRG.10060	MSTRG.7801	0	0	0	0	0
MSTRG.10061	MSTRG.7802	0	0	0	0	0
MSTRG.10062	ctdspl	0	0	0	0	0
MSTRG.10063	LOC111220921	0	0	0	0	0
MSTRG.10064	LOC111220922	0	0	0	0	0
MSTRG.10065	MSTRG.7806	0	0	0	0	0
MSTRG.10066	LOC111221016	0	0	0	0	0
MSTRG.10067	LOC111220934	0	0	0	0	0
MSTRG.10068	LOC111220968	0	0	0	0	0
MSTRG.10069	LOC111221066	0	0	0	0	0
MSTRG.1007	MSTRG.1050	0	0	0	0	0
MSTRG.10070	LOC111220973	0	0	0	0	0
MSTRG.10071	cunh5orf30	0	0	0	0	0
MSTRG.10072	MSTRG.7927	0	0	0	0	0
MSTRG.10073	MSTRG.7928	0	0	0	0	0
MSTRG.10074	LOC111221097	0	0	0	0	0
MSTRG.10075	slc38a9	0	0	0	0	0
MSTRG.10076	MSTRG.7931	0	0	0	0	0
MSTRG.10077	MSTRG.7932	0	0	0	0	0
MSTRG.10078	MSTRG.7934	0	0	0	0	0
MSTRG.10079	purg	0	0	0	0	0
MSTRG.1008	MSTRG.1052	0	0	0	0	0
MSTRG.10080	MSTRG.7923	0	0	0	0	0
MSTRG.10081	MSTRG.7924	0	0	0	0	0
MSTRG.10082	trnan-guu	0	0	0	0	0
MSTRG.10083	trnan-guu	0	0	0	0	0
MSTRG.10084	trnan-guu	0	0	0	0	0
MSTRG.10085	trnan-guu	0	0	0	0	0
MSTRG.10086	trnan-guu	0	0	0	0	0
MSTRG.10087	trnan-guu	0	0	0	0	0
MSTRG.10088	trnan-guu	0	0	0	0	0
MSTRG.10089	LOC111221133	0	0	0	0	0
MSTRG.1009	MSTRG.1053	0	0	0	0	0
MSTRG.10090	LOC111221131	0	0	0	0	0
MSTRG.10091	LOC111221138	0	0	0	0	0
MSTRG.10092	trnan-guu	0	0	0	0	0
MSTRG.10093	sptan1	0	0	0	0	0
MSTRG.10094	MSTRG.7897	0	0	0	0	0
MSTRG.10095	MSTRG.7898	0	0	0	0	0
MSTRG.10096	LOC111221159	0	0	0	0	0
MSTRG.10097	naif1	0	0	0	0	0
MSTRG.10098	LOC111221203	0	0	0	0	0
MSTRG.10099	MSTRG.7902	0	0	0	0	0
MSTRG.101	MSTRG.26743	0	0	0	0	0
MSTRG.1010	MSTRG.1034	0	0	0	0	0
MSTRG.10100	MSTRG.7553	0	0	0	0	0
MSTRG.10101	MSTRG.7555	0	0	0	0	0
MSTRG.10102	MSTRG.7557	0	0	0	0	0
MSTRG.10103	LOC111220812	0	0	0	0	0
MSTRG.10104	tnpo1	0	0	0	0	0
MSTRG.10105	MSTRG.7563	0	0	0	0	0
MSTRG.10106	MSTRG.7565	0	0	0	0	0
MSTRG.10107	MSTRG.7567	0	0	0	0	0
MSTRG.10108	MSTRG.7568	0	0	0	0	0
MSTRG.10109	MSTRG.7540	0	0	0	0	0
MSTRG.1011	olfml2a	0	0	0	0	0
MSTRG.10110	nudt15	0	0	0	0	0
MSTRG.10111	MSTRG.9525	0	0	0	0	0
MSTRG.10112	LOC111222754	0	0	0	0	0
MSTRG.10113	MSTRG.9529	0	0	0	0	0
MSTRG.10114	MSTRG.9532	0	0	0	0	0
MSTRG.10115	MSTRG.9534	0	0	0	0	0
MSTRG.10116	rnd3	0	0	0	0	0
MSTRG.10117	MSTRG.9538	0	0	0	0	0
MSTRG.10118	MSTRG.9540	0	0	0	0	0
MSTRG.10119	LOC111222771	0	0	0	0	0
MSTRG.1012	MSTRG.1038	0	0	0	0	0
MSTRG.10120	MSTRG.9572	0	0	0	0	0
MSTRG.10121	LOC111222649	0	0	0	0	0
MSTRG.10122	cyyr1	0	0	0	0	0
MSTRG.10123	LOC111222796	0	0	0	0	0
MSTRG.10124	LOC111222797	0	0	0	0	0
MSTRG.10125	MSTRG.9587	0	0	0	0	0
MSTRG.10126	glcci1	0	0	0	0	0
MSTRG.10127	rpa3	0	0	0	0	0
MSTRG.10128	MSTRG.9592	0	0	0	0	0
MSTRG.10129	nckipsd	0	0	0	0	0
MSTRG.1013	MSTRG.1040	0	0	0	0	0
MSTRG.10130	mfsd6	0	0	0	0	0
MSTRG.10131	MSTRG.9444	0	0	0	0	0
MSTRG.10132	trnag-gcc	0	0	0	0	0
MSTRG.10133	nop58	0	0	0	0	0
