Gene_id	T14A	T0A	T0B	T14B
LOC111218356	0	0	0	0
LOC111219532	0	0	0	0
LOC111223337	0	0	0	0
LOC111223338	0	0	0	0
LOC111225332	0	0	0	0
LOC111229944	0	0	0	0
LOC111229950	0	0	0	0
LOC111229953	0	0	0	0
LOC111229954	0	0	0	0
LOC111229957	0	0	0	0
LOC111230211	0	0	0	0
LOC111230212	0	0	0	0
LOC111230227	0	0	0	0
LOC111230228	0	0	0	0
LOC111230230	0	0	0	0
LOC111230258	0	0	0	0
LOC111231762	0	0	0	0
LOC111231867	0	0	0	0
LOC111235409	0	0	0	0
LOC111235906	0	0	0	0
LOC111235907	0	0	0	0
LOC111235908	0	0	0	0
LOC111235909	0	0	0	0
LOC111235910	0	0	0	0
LOC111235911	0	0	0	0
LOC111235912	0	0	0	0
LOC111235913	0	0	0	0
LOC111235914	0	0	0	0
LOC111235915	0	0	0	0
LOC111239468	0	0	0	0
LOC111239469	0	0	0	0
LOC111239982	0	0	0	0
LOC111239983	0	0	0	0
LOC111240079	0	0	0	0
LOC111240146	0	0	0	0
LOC111240174	0	0	0	0
MSTRG.1	0	0	0	0
MSTRG.10	0	0	0	0
MSTRG.100	0	0	0	0
MSTRG.1000	0	0	0	0
MSTRG.10000	0	0	0	0
MSTRG.10001	0	0	0	0
MSTRG.10002	0	0	0	0
MSTRG.10003	0	0	0	0
MSTRG.10004	0	0	0	0
MSTRG.10005	0	0	0	0
MSTRG.10006	0	0	0	0
MSTRG.10007	0	0	0	0
MSTRG.10008	0	0	0	0
MSTRG.10009	0	0	0	0
MSTRG.1001	0	0	0	0
MSTRG.10010	0	0	0	0
MSTRG.10011	0	0	0	0
MSTRG.10012	0	0	0	0
MSTRG.10013	0	0	0	0
MSTRG.10014	0	0	0	0
MSTRG.10015	0	0	0	0
MSTRG.10016	0	0	0	0
MSTRG.10017	0	0	0	0
MSTRG.10018	0	0	0	0
MSTRG.10019	0	0	0	0
MSTRG.1002	0	0	0	0
MSTRG.10020	0	0	0	0
MSTRG.10021	0	0	0	0
MSTRG.10022	0	0	0	0
MSTRG.10023	0	0	0	0
MSTRG.10024	0	0	0	0
MSTRG.10025	0	0	0	0
MSTRG.10026	0	0	0	0
MSTRG.10027	0	0	0	0
MSTRG.10028	0	0	0	0
MSTRG.10029	0	0	0	0
MSTRG.1003	0	0	0	0
MSTRG.10030	0	0	0	0
MSTRG.10031	0	0	0	0
